Sprite,Name,Type 1,Type 2,Ability 1,Ability 2,Ability 3,HP,Attack,Defense,Special Attack,Special Defense,Speed
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,Sandslash,Ground,None,Sand-veil,Sand-rush,None,75,100,110,45,55,65
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,Nidoran-f,Poison,None,Poison-point,Rivalry,Hustle,55,47,52,40,40,41
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,Nidorina,Poison,None,Poison-point,Rivalry,Hustle,70,62,67,55,55,56
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,Nidoqueen,Poison,Ground,Poison-point,Rivalry,Sheer-force,90,92,87,75,85,76
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,Nidoran-m,Poison,None,Poison-point,Rivalry,Hustle,46,57,40,40,40,50
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,Nidorino,Poison,None,Poison-point,Rivalry,Hustle,61,72,57,55,55,65
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,Nidoking,Poison,Ground,Poison-point,Rivalry,Sheer-force,81,102,77,85,75,85
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,Clefairy,Fairy,None,Cute-charm,Magic-guard,Friend-guard,70,45,48,60,65,35
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,Clefable,Fairy,None,Cute-charm,Magic-guard,Unaware,95,70,73,95,90,60
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,Vulpix,Fire,None,Flash-fire,Drought,None,38,41,40,50,65,65
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,Ninetales,Fire,None,Flash-fire,Drought,None,73,76,75,81,100,100
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,Jigglypuff,Normal,Fairy,Cute-charm,Competitive,Friend-guard,115,45,20,45,25,20
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,Wigglytuff,Normal,Fairy,Cute-charm,Competitive,Frisk,140,70,45,85,50,45
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,Zubat,Poison,Flying,Inner-focus,Infiltrator,None,40,45,35,30,40,55
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,Golbat,Poison,Flying,Inner-focus,Infiltrator,None,75,80,70,65,75,90
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,Oddish,Grass,Poison,Chlorophyll,Run-away,None,45,50,55,75,65,30
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,Gloom,Grass,Poison,Chlorophyll,Stench,None,60,65,70,85,75,40
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,Vileplume,Grass,Poison,Chlorophyll,Effect-spore,None,75,80,85,110,90,50
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,Paras,Bug,Grass,Effect-spore,Dry-skin,Damp,35,70,55,45,55,25
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,Parasect,Bug,Grass,Effect-spore,Dry-skin,Damp,60,95,80,60,80,30
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,Venonat,Bug,Poison,Compound-eyes,Tinted-lens,Run-away,60,55,50,40,55,45
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,Venomoth,Bug,Poison,Shield-dust,Tinted-lens,Wonder-skin,70,65,60,90,75,90
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,Diglett,Ground,None,Sand-veil,Arena-trap,Sand-force,10,55,25,35,45,95
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,Dugtrio,Ground,None,Sand-veil,Arena-trap,Sand-force,35,100,50,50,70,120
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,Meowth,Normal,None,Pickup,Technician,Unnerve,40,45,35,40,40,90
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,Persian,Normal,None,Limber,Technician,Unnerve,65,70,60,65,65,115
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,Psyduck,Water,None,Damp,Cloud-nine,Swift-swim,50,52,48,65,50,55
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,Golduck,Water,None,Damp,Cloud-nine,Swift-swim,80,82,78,95,80,85
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,Mankey,Fighting,None,Vital-spirit,Anger-point,Defiant,40,80,35,35,45,70
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,Primeape,Fighting,None,Vital-spirit,Anger-point,Defiant,65,105,60,60,70,95
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,Growlithe,Fire,None,Intimidate,Flash-fire,Justified,55,70,45,70,50,60
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,Arcanine,Fire,None,Intimidate,Flash-fire,Justified,90,110,80,100,80,95
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,Poliwag,Water,None,Water-absorb,Damp,Swift-swim,40,50,40,40,40,90
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,Poliwhirl,Water,None,Water-absorb,Damp,Swift-swim,65,65,65,50,50,90
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,Poliwrath,Water,Fighting,Water-absorb,Damp,Swift-swim,90,95,95,70,90,70
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,Abra,Psychic,None,Synchronize,Inner-focus,Magic-guard,25,20,15,105,55,90
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,Kadabra,Psychic,None,Synchronize,Inner-focus,Magic-guard,40,35,30,120,70,105
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,Alakazam,Psychic,None,Synchronize,Inner-focus,Magic-guard,55,50,45,135,95,120
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,Machop,Fighting,None,Guts,No-guard,Steadfast,70,80,50,35,35,35
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,Machoke,Fighting,None,Guts,No-guard,Steadfast,80,100,70,50,60,45
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,Machamp,Fighting,None,Guts,No-guard,Steadfast,90,130,80,65,85,55
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,Bellsprout,Grass,Poison,Chlorophyll,Gluttony,None,50,75,35,70,30,40
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,Weepinbell,Grass,Poison,Chlorophyll,Gluttony,None,65,90,50,85,45,55
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,Victreebel,Grass,Poison,Chlorophyll,Gluttony,None,80,105,65,100,70,70
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,Tentacool,Water,Poison,Clear-body,Liquid-ooze,Rain-dish,40,40,35,50,100,70
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,Tentacruel,Water,Poison,Clear-body,Liquid-ooze,Rain-dish,80,70,65,80,120,100
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,Geodude,Rock,Ground,Rock-head,Sturdy,Sand-veil,40,80,100,30,30,20
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,Graveler,Rock,Ground,Rock-head,Sturdy,Sand-veil,55,95,115,45,45,35
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,Golem,Rock,Ground,Rock-head,Sturdy,Sand-veil,80,120,130,55,65,45
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,Ponyta,Fire,None,Run-away,Flash-fire,Flame-body,50,85,55,65,65,90
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,Rapidash,Fire,None,Run-away,Flash-fire,Flame-body,65,100,70,80,80,105
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,Slowpoke,Water,Psychic,Oblivious,Own-tempo,Regenerator,90,65,65,40,40,15
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,Slowbro,Water,Psychic,Oblivious,Own-tempo,Regenerator,95,75,110,100,80,30
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,Magnemite,Electric,Steel,Magnet-pull,Sturdy,Analytic,25,35,70,95,55,45
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,Magneton,Electric,Steel,Magnet-pull,Sturdy,Analytic,50,60,95,120,70,70
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,Farfetchd,Normal,Flying,Keen-eye,Inner-focus,Defiant,52,90,55,58,62,60
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,Doduo,Normal,Flying,Run-away,Early-bird,Tangled-feet,35,85,45,35,35,75
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,Dodrio,Normal,Flying,Run-away,Early-bird,Tangled-feet,60,110,70,60,60,110
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,Seel,Water,None,Thick-fat,Hydration,Ice-body,65,45,55,45,70,45
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,Dewgong,Water,Ice,Thick-fat,Hydration,Ice-body,90,70,80,70,95,70
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,Grimer,Poison,None,Stench,Sticky-hold,Poison-touch,80,80,50,40,50,25
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,Muk,Poison,None,Stench,Sticky-hold,Poison-touch,105,105,75,65,100,50
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,Shellder,Water,None,Shell-armor,Skill-link,Overcoat,30,65,100,45,25,40
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,Cloyster,Water,Ice,Shell-armor,Skill-link,Overcoat,50,95,180,85,45,70
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,Gastly,Ghost,Poison,Levitate,None,None,30,35,30,100,35,80
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,Haunter,Ghost,Poison,Levitate,None,None,45,50,45,115,55,95
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,Gengar,Ghost,Poison,Cursed-body,None,None,60,65,60,130,75,110
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,Onix,Rock,Ground,Rock-head,Sturdy,Weak-armor,35,45,160,30,45,70
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,Drowzee,Psychic,None,Insomnia,Forewarn,Inner-focus,60,48,45,43,90,42
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,Hypno,Psychic,None,Insomnia,Forewarn,Inner-focus,85,73,70,73,115,67
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,Krabby,Water,None,Hyper-cutter,Shell-armor,Sheer-force,30,105,90,25,25,50
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,Kingler,Water,None,Hyper-cutter,Shell-armor,Sheer-force,55,130,115,50,50,75
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,Voltorb,Electric,None,Soundproof,Static,Aftermath,40,30,50,55,55,100
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,Electrode,Electric,None,Soundproof,Static,Aftermath,60,50,70,80,80,150
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,Exeggcute,Grass,Psychic,Chlorophyll,Harvest,None,60,40,80,60,45,40
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,Exeggutor,Grass,Psychic,Chlorophyll,Harvest,None,95,95,85,125,75,55
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,Cubone,Ground,None,Rock-head,Lightning-rod,Battle-armor,50,50,95,40,50,35
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,Marowak,Ground,None,Rock-head,Lightning-rod,Battle-armor,60,80,110,50,80,45
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,Hitmonlee,Fighting,None,Limber,Reckless,Unburden,50,120,53,35,110,87
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,Hitmonchan,Fighting,None,Keen-eye,Iron-fist,Inner-focus,50,105,79,35,110,76
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,Lickitung,Normal,None,Own-tempo,Oblivious,Cloud-nine,90,55,75,60,75,30
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,Koffing,Poison,None,Levitate,None,None,40,65,95,60,45,35
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,Weezing,Poison,None,Levitate,None,None,65,90,120,85,70,60
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,Rhyhorn,Ground,Rock,Lightning-rod,Rock-head,Reckless,80,85,95,30,30,25
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,Rhydon,Ground,Rock,Lightning-rod,Rock-head,Reckless,105,130,120,45,45,40
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,Chansey,Normal,None,Natural-cure,Serene-grace,Healer,250,5,5,35,105,50
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,Tangela,Grass,None,Chlorophyll,Leaf-guard,Regenerator,65,55,115,100,40,60
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,Kangaskhan,Normal,None,Early-bird,Scrappy,Inner-focus,105,95,80,40,80,90
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,Horsea,Water,None,Swift-swim,Sniper,Damp,30,40,70,70,25,60
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,Seadra,Water,None,Poison-point,Sniper,Damp,55,65,95,95,45,85
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,Goldeen,Water,None,Swift-swim,Water-veil,Lightning-rod,45,67,60,35,50,63
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,Seaking,Water,None,Swift-swim,Water-veil,Lightning-rod,80,92,65,65,80,68
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,Staryu,Water,None,Illuminate,Natural-cure,Analytic,30,45,55,70,55,85
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,Starmie,Water,Psychic,Illuminate,Natural-cure,Analytic,60,75,85,100,85,115
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,Mr-mime,Psychic,Fairy,Soundproof,Filter,Technician,40,45,65,100,120,90
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,Scyther,Bug,Flying,Swarm,Technician,Steadfast,70,110,80,55,80,105
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,Jynx,Ice,Psychic,Oblivious,Forewarn,Dry-skin,65,50,35,115,95,95
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,Electabuzz,Electric,None,Static,Vital-spirit,None,65,83,57,95,85,105
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,Magmar,Fire,None,Flame-body,Vital-spirit,None,65,95,57,100,85,93
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,Pinsir,Bug,None,Hyper-cutter,Mold-breaker,Moxie,65,125,100,55,70,85
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,Tauros,Normal,None,Intimidate,Anger-point,Sheer-force,75,100,95,40,70,110
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,Magikarp,Water,None,Swift-swim,Rattled,None,20,10,55,15,20,80
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,Gyarados,Water,Flying,Intimidate,Moxie,None,95,125,79,60,100,81
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,Lapras,Water,Ice,Water-absorb,Shell-armor,Hydration,130,85,80,85,95,60
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,Ditto,Normal,None,Limber,Imposter,None,48,48,48,48,48,48
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,Eevee,Normal,None,Run-away,Adaptability,Anticipation,55,55,50,45,65,55
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,Vaporeon,Water,None,Water-absorb,Hydration,None,130,65,60,110,95,65
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,Jolteon,Electric,None,Volt-absorb,Quick-feet,None,65,65,60,110,95,130
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,Flareon,Fire,None,Flash-fire,Guts,None,65,130,60,95,110,65
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,Porygon,Normal,None,Trace,Download,Analytic,65,60,70,85,75,40
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,Omanyte,Rock,Water,Swift-swim,Shell-armor,Weak-armor,35,40,100,90,55,35
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,Omastar,Rock,Water,Swift-swim,Shell-armor,Weak-armor,70,60,125,115,70,55
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,Kabuto,Rock,Water,Swift-swim,Battle-armor,Weak-armor,30,80,90,55,45,55
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,Kabutops,Rock,Water,Swift-swim,Battle-armor,Weak-armor,60,115,105,65,70,80
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,Aerodactyl,Rock,Flying,Rock-head,Pressure,Unnerve,80,105,65,60,75,130
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,Snorlax,Normal,None,Immunity,Thick-fat,Gluttony,160,110,65,65,110,30
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,Articuno,Ice,Flying,Pressure,Snow-cloak,None,90,85,100,95,125,85
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,Zapdos,Electric,Flying,Pressure,Static,None,90,90,85,125,90,100
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,Moltres,Fire,Flying,Pressure,Flame-body,None,90,100,90,125,85,90
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,Dratini,Dragon,None,Shed-skin,Marvel-scale,None,41,64,45,50,50,50
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,Dragonair,Dragon,None,Shed-skin,Marvel-scale,None,61,84,65,70,70,70
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,Dragonite,Dragon,Flying,Inner-focus,Multiscale,None,91,134,95,100,100,80
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,Mewtwo,Psychic,None,Pressure,Unnerve,None,106,110,90,154,90,130
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,Mew,Psychic,None,Synchronize,None,None,100,100,100,100,100,100
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,Chikorita,Grass,None,Overgrow,Leaf-guard,None,45,49,65,49,65,45
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,Bayleef,Grass,None,Overgrow,Leaf-guard,None,60,62,80,63,80,60
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,Meganium,Grass,None,Overgrow,Leaf-guard,None,80,82,100,83,100,80
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,Cyndaquil,Fire,None,Blaze,Flash-fire,None,39,52,43,60,50,65
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,Quilava,Fire,None,Blaze,Flash-fire,None,58,64,58,80,65,80
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,Typhlosion,Fire,None,Blaze,Flash-fire,None,78,84,78,109,85,100
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,Totodile,Water,None,Torrent,Sheer-force,None,50,65,64,44,48,43
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,Croconaw,Water,None,Torrent,Sheer-force,None,65,80,80,59,63,58
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,Feraligatr,Water,None,Torrent,Sheer-force,None,85,105,100,79,83,78
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,Sentret,Normal,None,Run-away,Keen-eye,Frisk,35,46,34,35,45,20
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,Furret,Normal,None,Run-away,Keen-eye,Frisk,85,76,64,45,55,90
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,Hoothoot,Normal,Flying,Insomnia,Keen-eye,Tinted-lens,60,30,30,36,56,50
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,Noctowl,Normal,Flying,Insomnia,Keen-eye,Tinted-lens,100,50,50,86,96,70
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,Ledyba,Bug,Flying,Swarm,Early-bird,Rattled,40,20,30,40,80,55
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,Ledian,Bug,Flying,Swarm,Early-bird,Iron-fist,55,35,50,55,110,85
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,Spinarak,Bug,Poison,Swarm,Insomnia,Sniper,40,60,40,40,40,30
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,Ariados,Bug,Poison,Swarm,Insomnia,Sniper,70,90,70,60,70,40
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,Crobat,Poison,Flying,Inner-focus,Infiltrator,None,85,90,80,70,80,130
https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,Chinchou,Water,Electric,Volt-absorb,Illuminate,Water-absorb,75,38,38,56,56,67
